type_gga,time_gga,lat_gga,lat_dir_gga,lon_gga,lon_dir_gga,fix_quality_gga,num_sats_gga,hdop_gga,altitude_gga,altitude_unit_gga,geoid_sep_gga,geoid_unit_gga,age_diff_gga,checksum_gga
GPGGA,144904.750,4308.4726,N,07726.4349,W,1,05,1.80,162.6,M,-34.4,M,,*57
GPGGA,144905.250,4308.4728,N,07726.4352,W,1,05,1.80,161.9,M,-34.4,M,,*5B
GPGGA,144908.250,4308.4735,N,07726.4363,W,1,05,1.80,158.1,M,-34.4,M,,*5A
GPGGA,144908.500,4308.4736,N,07726.4364,W,1,05,1.80,157.8,M,-34.4,M,,*5A
GPGGA,144909.750,4308.4742,N,07726.4374,W,1,05,1.80,156.8,M,-34.4,M,,*5F
GPGGA,144910.000,4308.4743,N,07726.4375,W,1,05,1.80,156.6,M,-34.4,M,,*5B
GPGGA,144912.250,4308.4753,N,07726.4389,W,1,05,1.80,155.4,M,-34.4,M,,*5D
GPGGA,144912.500,4308.4754,N,07726.4391,W,1,05,1.80,155.3,M,-34.4,M,,*56
GPGGA,144915.000,4308.4763,N,07726.4402,W,1,05,2.33,154.5,M,-34.4,M,,*51
GPGGA,144915.250,4308.4764,N,07726.4403,W,1,05,2.33,154.5,M,-34.4,M,,*50
GPGGA,144917.000,4308.4764,N,07726.4418,W,1,05,1.80,154.4,M,-34.4,M,,*55
GPGGA,144917.250,4308.4763,N,07726.4421,W,1,05,1.80,154.4,M,-34.4,M,,*5F
GPGGA,144917.750,4308.4759,N,07726.4429,W,1,05,1.80,154.5,M,-34.4,M,,*5A
GPGGA,144918.250,4308.4756,N,07726.4444,W,1,06,2.30,154.4,M,-34.4,M,,*5E
GPGGA,144918.750,4308.4761,N,07726.4477,W,1,06,2.30,154.5,M,-34.4,M,,*5E
GPGGA,144919.250,4308.4763,N,07726.4510,W,1,06,2.30,154.5,M,-34.4,M,,*58
GPGGA,144919.750,4308.4767,N,07726.4547,W,1,06,2.30,154.7,M,-34.4,M,,*59
GPGGA,144920.250,4308.4768,N,07726.4588,W,1,06,1.73,154.7,M,-34.4,M,,*5E
GPGGA,144920.750,4308.4769,N,07726.4631,W,1,06,2.30,154.9,M,-34.4,M,,*51
GPGGA,144921.250,4308.4770,N,07726.4680,W,1,06,1.73,155.0,M,-34.4,M,,*5B
GPGGA,144921.750,4308.4775,N,07726.4737,W,1,06,2.30,155.1,M,-34.4,M,,*53
GPGGA,144922.250,4308.4780,N,07726.4795,W,1,06,2.30,155.2,M,-34.4,M,,*54
GPGGA,144922.750,4308.4783,N,07726.4853,W,1,06,2.30,155.4,M,-34.4,M,,*51
