0,1,2,3,4,5,6,7,8,9,10,11,12
GPRMC,144904.500,A,4308.4726,N,07726.4348,W,0.16,53.46,010525,,,"A*42
"
GPRMC,144905.000,A,4308.4727,N,07726.4350,W,0.15,31.26,010525,,,"A*4F
"
GPRMC,144908.250,A,4308.4735,N,07726.4363,W,0.14,96.02,010525,,,"A*4C
"
GPRMC,144908.500,A,4308.4736,N,07726.4364,W,0.12,110.85,010525,,,"A*7C
"
GPRMC,144909.750,A,4308.4742,N,07726.4374,W,0.16,286.46,010525,,,"A*7F
"
GPRMC,144910.000,A,4308.4743,N,07726.4375,W,0.11,284.42,010525,,,"A*74
"
GPRMC,144912.250,A,4308.4753,N,07726.4389,W,0.29,318.35,010525,,,"A*7C
"
GPRMC,144912.500,A,4308.4754,N,07726.4391,W,0.35,326.21,010525,,,"A*75
"
GPRMC,144915.000,A,4308.4763,N,07726.4402,W,0.25,352.33,010525,,,"A*7F
"
GPRMC,144915.250,A,4308.4764,N,07726.4403,W,0.25,344.48,010525,,,"A*75
"
GPRMC,144917.500,A,4308.4761,N,07726.4425,W,2.10,243.27,010525,,,"A*7F
"
GPRMC,144918.000,A,4308.4757,N,07726.4434,W,5.16,233.05,010525,,,"A*76
"
GPRMC,144918.500,A,4308.4759,N,07726.4460,W,9.49,256.53,010525,,,"A*7A
"
GPRMC,144919.000,A,4308.4763,N,07726.4494,W,14.08,267.44,010525,,,"A*41
"
GPRMC,144919.500,A,4308.4765,N,07726.4527,W,16.09,271.27,010525,,,"A*4A
"
GPRMC,144920.000,A,4308.4768,N,07726.4568,W,19.22,271.87,010525,,,"A*4F
"
GPRMC,144920.500,A,4308.4769,N,07726.4609,W,20.78,270.61,010525,,,"A*43
"
GPRMC,144921.000,A,4308.4769,N,07726.4656,W,22.69,269.72,010525,,,"A*45
"
GPRMC,144921.500,A,4308.4771,N,07726.4707,W,24.56,270.26,010525,,,"A*4F
"
GPRMC,144922.000,A,4308.4778,N,07726.4767,W,27.65,272.34,010525,,,"A*44
"
GPRMC,144922.500,A,4308.4782,N,07726.4824,W,29.01,272.98,010525,,,"A*46
"
GPRMC,144923.000,A,4308.4784,N,07726.4882,W,30.08,273.00,010525,,,"A*49
"
GPRMC,144923.500,A,4308.4786,N,07726.4940,W,30.76,272.93,010525,,,"A*43
"
GPRMC,144924.000,A,4308.4790,N,07726.5001,W,31.65,273.24,010525,,,"A*45
"
GPRMC,144924.500,A,4308.4794,N,07726.5064,W,32.67,273.38,010525,,,"A*4B
"
GPRMC,144925.000,A,4308.4799,N,07726.5129,W,33.84,273.48,010525,,,"A*41
"
GPRMC,144925.500,A,4308.4802,N,07726.5196,W,34.78,273.23,010525,,,"A*44
"
GPRMC,144926.000,A,4308.4805,N,07726.5264,W,35.81,272.77,010525,,,"A*4C
"
GPRMC,144926.500,A,4308.4810,N,07726.5335,W,36.76,272.84,010525,,,"A*4F
"
GPRMC,144927.000,A,4308.4814,N,07726.5407,W,37.70,273.36,010525,,,"A*46
"
GPRMC,144927.500,A,4308.4820,N,07726.5481,W,38.68,273.87,010525,,,"A*46
"
GPRMC,144928.000,A,4308.4825,N,07726.5557,W,39.57,274.04,010525,,,"A*42
"
GPRMC,144928.500,A,4308.4830,N,07726.5634,W,40.32,273.68,010525,,,"A*45
"
GPRMC,144929.000,A,4308.4832,N,07726.5712,W,40.90,273.25,010525,,,"A*47
"
GPRMC,144929.500,A,4308.4834,N,07726.5790,W,41.16,272.61,010525,,,"A*40
"
GPRMC,144930.000,A,4308.4838,N,07726.5871,W,41.74,273.10,010525,,,"A*42
"
GPRMC,144930.500,A,4308.4841,N,07726.5952,W,42.17,273.41,010525,,,"A*4B
"
GPRMC,144931.000,A,4308.4843,N,07726.6032,W,41.99,272.96,010525,,,"A*4F
"
GPRMC,144931.500,A,4308.4845,N,07726.6112,W,41.94,272.89,010525,,,"A*4C
"
GPRMC,144932.000,A,4308.4846,N,07726.6190,W,41.68,272.75,010525,,,"A*43
"
GPRMC,144932.500,A,4308.4847,N,07726.6269,W,40.56,271.54,010525,,,"A*4E
"
GPRMC,144933.000,A,4308.4847,N,07726.6347,W,40.23,270.09,010525,,,"A*4C
"
GPRMC,144933.500,A,4308.4848,N,07726.6425,W,39.86,269.18,010525,,,"A*4C
"
GPRMC,144934.000,A,4308.4847,N,07726.6502,W,39.66,268.06,010525,,,"A*45
"
GPRMC,144934.500,A,4308.4846,N,07726.6579,W,39.09,267.49,010525,,,"A*40
"
GPRMC,144935.000,A,4308.4843,N,07726.6654,W,38.99,266.39,010525,,,"A*43
"
GPRMC,144935.500,A,4308.4840,N,07726.6729,W,38.86,266.14,010525,,,"A*4F
"
GPRMC,144936.000,A,4308.4837,N,07726.6803,W,38.76,266.14,010525,,,"A*41
"
GPRMC,144936.500,A,4308.4835,N,07726.6877,W,38.90,266.36,010525,,,"A*4D
"
GPRMC,144937.000,A,4308.4832,N,07726.6952,W,39.12,266.58,010525,,,"A*4B
"
GPRMC,144937.500,A,4308.4829,N,07726.7026,W,39.05,266.71,010525,,,"A*42
"
GPRMC,144938.000,A,4308.4827,N,07726.7100,W,38.71,267.17,010525,,,"A*40
"
GPRMC,144938.500,A,4308.4824,N,07726.7173,W,38.53,266.83,010525,,,"A*4E
"
GPRMC,144939.000,A,4308.4822,N,07726.7244,W,37.34,267.18,010525,,,"A*46
"
GPRMC,144939.500,A,4308.4821,N,07726.7314,W,36.59,267.76,010525,,,"A*46
"
GPRMC,144940.000,A,4308.4819,N,07726.7382,W,35.76,267.67,010525,,,"A*47
"
GPRMC,144940.500,A,4308.4816,N,07726.7449,W,35.34,267.02,010525,,,"A*48
"
GPRMC,144941.000,A,4308.4811,N,07726.7512,W,33.91,266.34,010525,,,"A*49
"
GPRMC,144941.500,A,4308.4808,N,07726.7575,W,33.05,266.03,010525,,,"A*4C
"
GPRMC,144942.000,A,4308.4802,N,07726.7637,W,32.53,265.09,010525,,,"A*4E
"
GPRMC,144942.500,A,4308.4798,N,07726.7699,W,32.17,264.60,010525,,,"A*4D
"
GPRMC,144943.000,A,4308.4794,N,07726.7760,W,31.85,264.39,010525,,,"A*46
"
GPRMC,144943.500,A,4308.4790,N,07726.7821,W,31.61,264.28,010525,,,"A*47
"
GPRMC,144944.000,A,4308.4784,N,07726.7881,W,31.39,263.46,010525,,,"A*48
"
GPRMC,144944.500,A,4308.4779,N,07726.7942,W,31.16,262.92,010525,,,"A*44
"
GPRMC,144945.000,A,4308.4774,N,07726.8002,W,31.38,262.70,010525,,,"A*4F
"
GPRMC,144945.500,A,4308.4770,N,07726.8063,W,31.72,263.04,010525,,,"A*45
"
GPRMC,144946.000,A,4308.4765,N,07726.8124,W,32.23,263.58,010525,,,"A*4B
"
GPRMC,144946.500,A,4308.4761,N,07726.8187,W,32.76,263.72,010525,,,"A*4B
"
GPRMC,144947.000,A,4308.4757,N,07726.8251,W,33.03,264.09,010525,,,"A*4A
"
GPRMC,144947.500,A,4308.4753,N,07726.8314,W,33.07,263.95,010525,,,"A*4D
"
GPRMC,144948.000,A,4308.4750,N,07726.8379,W,33.10,264.16,010525,,,"A*45
"
GPRMC,144948.500,A,4308.4747,N,07726.8442,W,33.14,264.05,010525,,,"A*4F
"
GPRMC,144949.000,A,4308.4743,N,07726.8505,W,32.95,264.37,010525,,,"A*44
"
GPRMC,144949.500,A,4308.4739,N,07726.8568,W,32.68,264.64,010525,,,"A*43
"
GPRMC,144950.000,A,4308.4735,N,07726.8629,W,32.42,264.47,010525,,,"A*4D
"
GPRMC,144950.500,A,4308.4730,N,07726.8691,W,32.39,264.03,010525,,,"A*42
"
GPRMC,144951.000,A,4308.4725,N,07726.8753,W,32.71,263.71,010525,,,"A*43
"
GPRMC,144951.500,A,4308.4721,N,07726.8816,W,33.08,263.97,010525,,,"A*4B
"
GPRMC,144952.000,A,4308.4716,N,07726.8880,W,33.36,263.67,010525,,,"A*44
"
GPRMC,144952.500,A,4308.4710,N,07726.8943,W,33.79,263.22,010525,,,"A*43
"
GPRMC,144953.000,A,4308.4704,N,07726.9007,W,33.76,262.88,010525,,,"A*44
"
GPRMC,144953.500,A,4308.4699,N,07726.9071,W,33.70,262.93,010525,,,"A*49
"
GPRMC,144954.000,A,4308.4695,N,07726.9136,W,33.60,263.07,010525,,,"A*48
"
GPRMC,144954.500,A,4308.4690,N,07726.9199,W,33.27,263.00,010525,,,"A*49
"
GPRMC,144955.000,A,4308.4685,N,07726.9263,W,33.35,262.85,010525,,,"A*40
"
GPRMC,144955.500,A,4308.4680,N,07726.9327,W,33.46,262.81,010525,,,"A*41
"
GPRMC,144956.000,A,4308.4676,N,07726.9392,W,34.00,263.56,010525,,,"A*4E
"
GPRMC,144956.500,A,4308.4672,N,07726.9457,W,34.46,264.22,010525,,,"A*47
"
GPRMC,144957.000,A,4308.4666,N,07726.9523,W,35.13,264.38,010525,,,"A*4E
"
GPRMC,144957.500,A,4308.4661,N,07726.9590,W,35.50,264.35,010525,,,"A*4E
"
GPRMC,144958.000,A,4308.4656,N,07726.9658,W,36.03,264.36,010525,,,"A*41
"
GPRMC,144958.500,A,4308.4651,N,07726.9728,W,36.62,264.41,010525,,,"A*42
"
GPRMC,144959.000,A,4308.4646,N,07726.9799,W,37.35,264.39,010525,,,"A*46
"
GPRMC,144959.500,A,4308.4641,N,07726.9871,W,37.56,264.57,010525,,,"A*40
"
GPRMC,145000.000,A,4308.4637,N,07726.9944,W,37.87,264.55,010525,,,"A*49
"
GPRMC,145000.500,A,4308.4633,N,07727.0017,W,38.55,264.86,010525,,,"A*41
"
GPRMC,145001.000,A,4308.4629,N,07727.0091,W,39.01,265.48,010525,,,"A*43
"
GPRMC,145001.500,A,4308.4626,N,07727.0165,W,39.10,265.81,010525,,,"A*46
"
GPRMC,145002.000,A,4308.4622,N,07727.0239,W,39.18,266.04,010525,,,"A*48
"
GPRMC,145002.500,A,4308.4619,N,07727.0313,W,39.49,266.15,010525,,,"A*48
"
GPRMC,145003.000,A,4308.4616,N,07727.0388,W,39.36,266.21,010525,,,"A*4E
"
GPRMC,145003.500,A,4308.4613,N,07727.0462,W,39.34,266.42,010525,,,"A*4A
"
GPRMC,145004.000,A,4308.4612,N,07727.0536,W,39.35,267.16,010525,,,"A*48
"
GPRMC,145004.500,A,4308.4612,N,07727.0613,W,39.68,267.60,010525,,,"A*40
"
GPRMC,145005.000,A,4308.4612,N,07727.0688,W,39.81,267.82,010525,,,"A*4D
"
GPRMC,145005.500,A,4308.4613,N,07727.0763,W,39.80,269.04,010525,,,"A*4C
"
GPRMC,145006.000,A,4308.4617,N,07727.0833,W,39.10,271.19,010525,,,"A*48
"
GPRMC,145006.500,A,4308.4622,N,07727.0904,W,39.09,272.45,010525,,,"A*4C
"
GPRMC,145007.000,A,4308.4628,N,07727.0977,W,39.16,273.60,010525,,,"A*4E
"
GPRMC,145007.500,A,4308.4634,N,07727.1050,W,38.99,274.45,010525,,,"A*4D
"
GPRMC,145008.000,A,4308.4643,N,07727.1122,W,38.81,276.37,010525,,,"A*4D
"
GPRMC,145008.500,A,4308.4653,N,07727.1193,W,38.62,278.53,010525,,,"A*42
"
GPRMC,145009.000,A,4308.4664,N,07727.1263,W,38.56,279.62,010525,,,"A*4A
"
GPRMC,145009.500,A,4308.4674,N,07727.1334,W,38.44,280.14,010525,,,"A*49
"
GPRMC,145010.000,A,4308.4686,N,07727.1404,W,38.13,280.56,010525,,,"A*49
"
GPRMC,145010.500,A,4308.4698,N,07727.1473,W,37.72,281.22,010525,,,"A*49
"
GPRMC,145011.000,A,4308.4710,N,07727.1542,W,37.61,281.55,010525,,,"A*4D
"
GPRMC,145011.500,A,4308.4722,N,07727.1611,W,37.15,281.43,010525,,,"A*48
"
GPRMC,145012.000,A,4308.4734,N,07727.1679,W,36.81,280.38,010525,,,"A*46
"
GPRMC,145012.500,A,4308.4745,N,07727.1748,W,36.46,280.14,010525,,,"A*43
"
GPRMC,145013.000,A,4308.4755,N,07727.1816,W,36.32,280.43,010525,,,"A*43
"
GPRMC,145013.500,A,4308.4765,N,07727.1882,W,35.71,280.02,010525,,,"A*49
"
GPRMC,145014.000,A,4308.4776,N,07727.1949,W,35.71,279.72,010525,,,"A*4E
"
GPRMC,145014.500,A,4308.4787,N,07727.2016,W,35.69,279.73,010525,,,"A*4D
"
GPRMC,145015.000,A,4308.4798,N,07727.2084,W,35.72,279.35,010525,,,"A*44
"
GPRMC,145015.500,A,4308.4808,N,07727.2152,W,36.01,279.47,010525,,,"A*4F
"
GPRMC,145016.000,A,4308.4817,N,07727.2220,W,36.47,278.97,010525,,,"A*4F
"
GPRMC,145016.500,A,4308.4826,N,07727.2289,W,36.54,278.84,010525,,,"A*4B
"
GPRMC,145017.000,A,4308.4834,N,07727.2357,W,36.48,278.51,010525,,,"A*4B
"
GPRMC,145017.500,A,4308.4842,N,07727.2426,W,36.55,278.03,010525,,,"A*45
"
GPRMC,145018.000,A,4308.4851,N,07727.2495,W,36.60,278.36,010525,,,"A*45
"
GPRMC,145018.500,A,4308.4859,N,07727.2564,W,36.70,278.44,010525,,,"A*43
"
GPRMC,145019.000,A,4308.4869,N,07727.2635,W,37.42,279.32,010525,,,"A*43
"
GPRMC,145019.500,A,4308.4878,N,07727.2705,W,37.51,279.40,010525,,,"A*43
"
GPRMC,145020.000,A,4308.4888,N,07727.2776,W,37.75,280.19,010525,,,"A*4B
"
GPRMC,145020.500,A,4308.4898,N,07727.2847,W,38.01,280.20,010525,,,"A*44
"
GPRMC,145021.000,A,4308.4908,N,07727.2918,W,38.04,280.29,010525,,,"A*4F
"
GPRMC,145021.500,A,4308.4918,N,07727.2989,W,38.02,280.78,010525,,,"A*41
"
GPRMC,145022.000,A,4308.4928,N,07727.3060,W,38.02,280.88,010525,,,"A*44
"
GPRMC,145022.500,A,4308.4938,N,07727.3130,W,37.56,280.71,010525,,,"A*4C
"
GPRMC,145023.000,A,4308.4948,N,07727.3200,W,37.46,280.73,010525,,,"A*4C
"
GPRMC,145023.500,A,4308.4958,N,07727.3269,W,37.19,280.65,010525,,,"A*4A
"
GPRMC,145024.000,A,4308.4968,N,07727.3338,W,36.92,280.24,010525,,,"A*49
"
GPRMC,145024.500,A,4308.4977,N,07727.3406,W,36.49,279.91,010525,,,"A*46
"
GPRMC,145025.000,A,4308.4984,N,07727.3474,W,36.39,278.96,010525,,,"A*4A
"
GPRMC,145025.500,A,4308.4991,N,07727.3541,W,35.87,278.41,010525,,,"A*40
"
GPRMC,145026.000,A,4308.4998,N,07727.3607,W,35.83,278.37,010525,,,"A*4B
"
GPRMC,145026.500,A,4308.5004,N,07727.3675,W,36.12,277.96,010525,,,"A*49
"
GPRMC,145027.000,A,4308.5010,N,07727.3743,W,36.33,277.67,010525,,,"A*41
"
GPRMC,145027.500,A,4308.5017,N,07727.3812,W,36.55,278.04,010525,,,"A*42
"
GPRMC,145028.000,A,4308.5026,N,07727.3883,W,37.06,278.71,010525,,,"A*47
"
GPRMC,145028.500,A,4308.5035,N,07727.3953,W,36.87,279.24,010525,,,"A*45
"
GPRMC,145029.000,A,4308.5043,N,07727.4023,W,36.77,279.22,010525,,,"A*40
"
